Date,Symbol,Buy,Sell,Total,Net
2026-07-09,NETBAY,381220.0,5768950.0,6150170.0,-5387730.0
2026-07-09,NEX,270619.0,225040.0,495659.0,45579.0
2026-07-09,NOBLE,10010.0,8145.0,18155.0,1865.0
2026-07-09,NSL,1170780.0,2260.0,1173040.0,1168520.0
2026-07-09,NTF,810580.0,60300.0,870880.0,750280.0
2026-07-09,NTSC,0.0,109600.0,109600.0,-109600.0
2026-07-09,NUT,14520.0,0.0,14520.0,14520.0
2026-07-09,NV,0.0,180.0,180.0,-180.0
2026-07-09,NVD,0.0,346.0,346.0,-346.0
2026-07-09,NYT,1822594.0,154694.0,1977288.0,1667900.0
2026-07-09,OKJ,270368.0,0.0,270368.0,270368.0
2026-07-09,ONEE,1477130.0,409816.0,1886946.0,1067314.0
2026-07-09,OR,63861350.0,58360669.4,122222019.4,5500680.6000000015
2026-07-09,ORI,1093930.0,96358.0,1190288.0,997572.0
2026-07-09,OSP,55707880.0,39890560.0,95598440.0,15817320.0
2026-07-09,PACO,137.0,1350.0,1487.0,-1213.0
2026-07-09,PAF,0.0,1852.0,1852.0,-1852.0
2026-07-09,PCC,0.0,878.0,878.0,-878.0
2026-07-09,PCE,0.0,203060.0,203060.0,-203060.0
2026-07-09,PCSGH,0.0,9362.0,9362.0,-9362.0
2026-07-09,PEER,150.0,0.0,150.0,150.0
2026-07-09,PERM,0.0,27.0,27.0,-27.0
2026-07-09,PHG,0.0,1010.0,1010.0,-1010.0
2026-07-09,PIN,196854.0,39848.0,236702.0,157006.0
2026-07-09,PK,0.0,282.0,282.0,-282.0
2026-07-09,PLANB,84530871.0,33452617.0,117983488.0,51078254.0
2026-07-09,PLAT,1853949.0,737624.0,2591573.0,1116325.0
2026-07-09,PLE,2120.0,0.0,2120.0,2120.0
2026-07-09,PLUS,16682.0,10621.0,27303.0,6061.0
2026-07-09,PM,160950.0,167490.0,328440.0,-6540.0
2026-07-09,PMC,141240.0,193710.0,334950.0,-52470.0
2026-07-09,POLY,2055.0,0.0,2055.0,2055.0
2026-07-09,PPPM,0.0,22.0,22.0,-22.0
2026-07-09,PR9,18517140.0,23137810.0,41654950.0,-4620670.0
2026-07-09,PREB,0.0,688.0,688.0,-688.0
2026-07-09,PRG,0.0,9.25,9.25,-9.25
2026-07-09,PRM,16023150.0,643840.0,16666990.0,15379310.0
2026-07-09,PRTR,356.0,0.0,356.0,356.0
2026-07-09,PSGC,302250.0,0.0,302250.0,302250.0
2026-07-09,PSH,165294.0,527722.0,693016.0,-362428.0
2026-07-09,PSL,15696915.0,3286520.0,18983435.0,12410395.0
2026-07-09,PSP,4068645.0,1678090.0,5746735.0,2390555.0
2026-07-09,PSTC,0.0,1371.0,1371.0,-1371.0
2026-07-09,PT,262080.0,72800.0,334880.0,189280.0
2026-07-09,PTG,2493625.0,10185615.0,12679240.0,-7691990.0
2026-07-09,PTL,82360.0,91830.0,174190.0,-9470.0
2026-07-09,PTT,2589215850.0,1148301092.25,3737516942.25,1440914757.75
2026-07-09,PTTEP,915617770.0,1852683156.0,2768300926.0,-937065386.0
2026-07-09,PTTGC,231125675.0,353145025.0,584270700.0,-122019350.0
2026-07-09,PYLON,198616.0,51454.0,250070.0,147162.0
2026-07-09,QDC,0.0,6.0,6.0,-6.0
2026-07-09,QH,5930185.0,2347945.0,8278130.0,3582240.0
2026-07-09,RABBIT,3400.0,13124.0,16524.0,-9724.0
2026-07-09,RABBIT-P,0.0,36.0,36.0,-36.0
2026-07-09,RAM,0.0,10770.0,10770.0,-10770.0
2026-07-09,RATCH,70759425.0,86754325.0,157513750.0,-15994900.0
2026-07-09,RBF,3489244.0,622406.0,4111650.0,2866838.0
2026-07-09,RCL,36590400.0,15179850.0,51770250.0,21410550.0
2026-07-09,READY,9060.0,0.0,9060.0,9060.0
2026-07-09,RJH,473380.0,5520.0,478900.0,467860.0
2026-07-09,RML,0.0,117.0,117.0,-117.0
2026-07-09,ROCTEC,44021.0,1464.0,45485.0,42557.0
2026-07-09,ROJNA,5885985.0,443440.0,6329425.0,5442545.0
2026-07-09,RPC,0.0,175.0,175.0,-175.0
2026-07-09,RS,6500.0,0.0,6500.0,6500.0
2026-07-09,RT,29000.0,0.0,29000.0,29000.0
2026-07-09,RWI,0.0,67.0,67.0,-67.0
2026-07-09,S,10192.0,19536.0,29728.0,-9344.0
2026-07-09,SA,0.0,710.0,710.0,-710.0
2026-07-09,SABINA,68640.0,170980.0,239620.0,-102340.0
2026-07-09,SAFE,16800.0,0.0,16800.0,16800.0
2026-07-09,SAK,4040138.0,368904.0,4409042.0,3671234.0
2026-07-09,SALEE,0.0,6321.0,6321.0,-6321.0
2026-07-09,SAMART,4681640.0,373775.0,5055415.0,4307865.0
2026-07-09,SAMTEL,1244.0,0.0,1244.0,1244.0
2026-07-09,SANKO,0.0,18231.0,18231.0,-18231.0
2026-07-09,SAPPE,2057750.0,634575.0,2692325.0,1423175.0
2026-07-09,SAT,1407120.0,510400.0,1917520.0,896720.0
2026-07-09,SAV,1623290.0,29850.0,1653140.0,1593440.0
2026-07-09,SAWAD,286498090.0,70321712.9,356819802.9,216176377.1
2026-07-09,SC,2802102.0,3011899.0,5814001.0,-209797.0
2026-07-09,SCAP,7982508.0,695752.0,8678260.0,7286756.0
2026-07-09,SCB,1262933590.0,904454892.0,2167388482.0,358478698.0
2026-07-09,SCC,193416300.0,728169463.0,921585763.0,-534753163.0
2026-07-09,SCCC,3886800.0,1602150.0,5488950.0,2284650.0
